item_id,date_added,description,colors,metals,stones,stones_carat_total_weight,product_id,image
1,2024-02-15,"A luxurious yellow gold ring adorned with sparkling diamonds, exuding timeless elegance and sophistication.","yellow, clear",yellow gold,diamonds,1.5,1,1.png
2,2024-02-15,"A mesmerizing white gold ring featuring a stunning arrangement of diamonds, symbolizing everlasting beauty and opulence.","white, clear",white gold,diamonds,1.5,1,2.png
3,2024-02-20,"A radiant pink gold bracelet, exuding regal charm and sophistication.",pink,pink gold,no stones,0.0,2,3.png
4,2024-02-20,"An exquisite white gold bracelet, epitomizing luxury and grace.",white,white gold,no stones,0.0,2,4.png
5,2024-02-25,"A majestic yellow gold necklace adorned with glistening diamonds, exuding royal elegance and grandeur.","yellow, clear",yellow gold,diamonds,3.0,3,5.png
6,2024-02-25,"An opulent white gold necklace featuring a breathtaking arrangement of diamonds, capturing the essence of luxury and sophistication.","white, clear",white gold,diamonds,3.0,3,6.png
7,2024-03-01,"Luxurious pink gold earrings adorned with sparkling diamonds, radiating opulent glamour and sophistication.","pink, clear",pink gold,diamonds,2.2,4,7.png
8,2024-03-01,"Elegant white gold earrings featuring a dazzling array of diamonds, exuding timeless beauty and refinement.","white, clear",white gold,diamonds,2.2,4,8.png
9,2024-02-15,"A timeless yellow gold ring adorned with sparkling diamonds, radiating elegance and grace.","yellow, clear",yellow gold,diamonds,1.0,5,9.png
10,2024-02-15,"An exquisite pink gold ring featuring a delicate arrangement of diamonds, epitomizing sophistication and charm.","pink, clear",pink gold,diamonds,1.0,5,10.png
11,2024-03-04,"An elegant white gold necklace adorned with a breathtaking butterfly pendant, symbolizing transformation and beauty.",white,white gold,no stones,0.0,6,11.png
12,2024-03-04,"An elegant pink gold necklace adorned with a breathtaking butterfly pendant, symbolizing transformation and beauty.",pink,pink gold,no stones,0.0,6,12.png
13,2024-03-04,"A mesmerizing white gold necklace featuring delicate leaf motifs and sparkling diamond accents, evoking the enchanting beauty of a mystical forest.",white,white gold,diamonds,0.7,7,13.png
14,2024-03-04,"A mesmerizing yellow gold necklace featuring delicate leaf motifs and sparkling diamond accents, evoking the enchanting beauty of a mystical forest.",yellow,yellow gold,diamonds,0.7,7,14.png
15,2024-02-15,"An enchanting white gold ring adorned with a heart shaped diamond, symbolizing eternal love and romance.","white, clear",white gold,diamonds,1.8,8,15.png
16,2024-02-15,"An enchanting pink gold ring adorned with a heart shaped diamond, symbolizing eternal love and romance.","pink, clear",pink gold,diamonds,1.8,8,16.png
17,2024-02-15,"An enchanting yellow gold ring adorned with a heart shaped diamond, symbolizing eternal love and romance.","yellow, clear",yellow gold,diamonds,1.8,8,17.png
18,2024-02-25,"An exquisite chain pink gold necklace, capturing the essence of timeless elegance and sophistication.",pink,pink gold,no stones,0.0,9,18.png
19,2024-02-25,"An exquisite chain yellow gold necklace, capturing the essence of timeless elegance and sophistication.",yellow,yellow gold,no stones,0.0,9,19.png
